SYSTEM	SITE	LAT	LON	CELL_NAME	CID	DIR	ANT_BW	LAC	MCC	MNC	EARFCN	PCI
LTE	CBI0630-L23	12.968963	100.895684	L23-CBI0630-1B	21	0	30	33081	520	17	38852                                                       	481
LTE	CBI0509-L23	13.305277	100.966388	L23-CBI0509-1B	21	100	30	33162	520	17	38852                                                       	179
LTE	CBI1258-L23	12.67746	100.98586	L23-CBI1258-1C	31	180	30	33082	520	17	38852                                                       	22
LTE	CBI0375-L23	13.421666	101.095555	L23-CBI0375-2B	22	75	30	33163	520	17	39050                                                       	132
LTE	CBI0925-L23	13.279024	100.924551	L23-CBI0925-3M	133	250	30	33162	520	17	39248                                                       	55
LTE	CBI0050-L23	13.291388	101.174166	L23-CBI0050-3E	53	260	30	33163	520	17	39248                                                       	394
LTE	CBI1238-L23	13.39052	101.02403	L23-CBI1238-1C	31	160	30	33161	520	17	38852                                                       	142
LTE	CBI0195-L23	12.95	100.8975	L23-CBI0195-1B	21	60	30	33081	520	17	38852                                                       	17
LTE	CBI1003-L23	12.918611	100.959444	L23-CBI1003-1B	21	200	30	33083	520	17	38852                                                       	33
LTE	CBI0740-L23	12.929166	100.945555	L23-CBI0740-3B	23	170	30	33083	520	17	39248                                                       	113
LTE	CBI0217-L23	13.103611	101.009166	L23-CBI0217-2C	32	90	30	33091	520	17	39050                                                       	25
LTE	CBI0731-L23	12.92462	100.77489	L23-CBI0731-3A	13	0	30	33081	520	17	39248                                                       	94
LTE	CBI1151-L23	13.414615	101.27839	L23-CBI1151-3D	43	300	30	33092	520	17	39248                                                       	45
LTE	CBI0490-L23	13.297222	101.122222	L23-CBI0490-1C	31	175	30	33163	520	17	38852                                                       	95
LTE	CBI0728-L23	12.947793	100.89022	L23-CBI0728-3A	13	350	30	33081	520	17	39248                                                       	5
LTE	CBI0416-L23	13.436111	101.255	L23-CBI0416-3B	23	120	30	33092	520	17	39248                                                       	94
LTE	CBI0327-L23	13.333055	100.951666	L23-CBI0327-1C	31	240	30	33162	520	17	38852                                                       	401
LTE	CBI1215-L23	13.39206	101.01123	L23-CBI1215-1B	21	170	30	33161	520	17	38852                                                       	385
LTE	CBI0446-L23	13.231904	101.113998	L23-CBI0446-2A	12	340	30	33163	520	17	39050                                                       	109
LTE	CBI0945-L23	12.8866	100.95618	L23-CBI0945-1A	11	340	30	33083	520	17	38852                                                       	72
LTE	CBI0896-L23	13.12235	100.95834	L23-CBI0896-3A	13	30	30	33091	520	17	39248                                                       	425
LTE	CBI1229-L23	13.440833	101.111111	L23-CBI1229-1B	21	180	30	33163	520	17	38852                                                       	358
LTE	CBI0179-L23	12.756944	100.859444	L23-CBI0179-1A	11	0	30	33083	520	17	38852                                                       	307
LTE	CBI0105-L23	12.926944	101.005833	L23-CBI0105-2A	12	320	30	33083	520	17	39050                                                       	69
LTE	CBI0981-L23	13.4075	101.045555	L23-CBI0981-3C	33	110	30	33163	520	17	39248                                                       	200
LTE	CBI1252-L23	13.45042	101.059376	L23-CBI1252-2E	52	300	30	33163	520	17	39050                                                       	22
LTE	CBI0428-L23	13.118888	101.032222	L23-CBI0428-3A	13	0	30	33091	520	17	39248                                                       	301
LTE	CBI1410-L23	13.338944	101.424437	L23-CBI1410-3C	33	240	30	33121	520	17	39248                                                       	190
LTE	CBI0697-L23	12.906666	100.909722	L23-CBI0697-2D	42	330	30	33081	520	17	39050                                                       	429
LTE	CBI0505-L23	12.860555	100.927222	L23-CBI0505-3A	13	350	30	33083	520	17	39248                                                       	228
LTE	CBI0282-L23	13.226388	101.324166	L23-CBI0282-2A	12	30	30	33092	520	17	39050                                                       	155
LTE	CBI0369-L23	13.287777	100.93	L23-CBI0369-2C	32	120	30	33162	520	17	39050                                                       	429
LTE	CBI1263-L23	13.02994	101.12395	L23-CBI1263-1E	51	210	30	33092	520	17	38852                                                       	67
LTE	CBI0944-L23	13.39646	101.196423	L23-CBI0944-3C	33	250	30	33033	520	17	39248                                                       	34
LTE	CBI0047-L23	13.236944	101.004166	L23-CBI0047-3A	13	20	30	33093	520	17	39248                                                       	297
LTE	CBI0990-L23	13.38	101.036944	L23-CBI0990-1D	41	300	30	33163	520	17	38852                                                       	28
LTE	CBI0071-L23	13.441612	101.029908	L23-CBI0071-1A	11	30	30	33161	520	17	38852                                                       	409
LTE	CBI0072-L23	13.300277	100.899722	L23-CBI0072-1A	11	20	30	33162	520	17	38852                                                       	13
LTE	CBI0943-L23	13.46146	101.20049	L23-CBI0943-2B	22	140	30	33033	520	17	39050                                                       	337
LTE	CBI0756-L23	12.920277	100.889444	L23-CBI0756-3A	13	0	30	33081	520	17	39248                                                       	293
